seller_id,month_index,revenue
014c0679dd340a0e338872e7ec85666a,19,382.22
014c0679dd340a0e338872e7ec85666a,22,737.36
014d9a685fd57276679edd00e07089e5,14,72.64999999999999
014d9a685fd57276679edd00e07089e5,16,73.14
014d9a685fd57276679edd00e07089e5,18,259.84000000000003
014d9a685fd57276679edd00e07089e5,19,161.18
014d9a685fd57276679edd00e07089e5,23,310.0
0176f73cc1195f367f7b32db1e5b3aa8,14,706.16
0176f73cc1195f367f7b32db1e5b3aa8,16,1099.23
0176f73cc1195f367f7b32db1e5b3aa8,17,439.67
0176f73cc1195f367f7b32db1e5b3aa8,18,353.44000000000005
0176f73cc1195f367f7b32db1e5b3aa8,19,367.78000000000003
0176f73cc1195f367f7b32db1e5b3aa8,20,1033.39
0176f73cc1195f367f7b32db1e5b3aa8,21,686.21
0176f73cc1195f367f7b32db1e5b3aa8,22,1009.04
0176f73cc1195f367f7b32db1e5b3aa8,23,325.19
01bcc9d254a0143f0ce9791b960b2a47,11,135.05
01bcc9d254a0143f0ce9791b960b2a47,12,799.44
01bcc9d254a0143f0ce9791b960b2a47,13,524.88
01bcc9d254a0143f0ce9791b960b2a47,16,156.0
01bcc9d254a0143f0ce9791b960b2a47,17,183.5
01c97ebb5cdac52891c0ed1c37ba0012,7,92.82
01c97ebb5cdac52891c0ed1c37ba0012,10,45.51
01c97ebb5cdac52891c0ed1c37ba0012,11,42.089999999999996
01c97ebb5cdac52891c0ed1c37ba0012,14,84.17999999999999
01c97ebb5cdac52891c0ed1c37ba0012,18,402.40000000000003
01c97ebb5cdac52891c0ed1c37ba0012,22,89.0
01cf7e3d21494c41fb86034f2e714fa1,1,89.16000000000001
01cf7e3d21494c41fb86034f2e714fa1,4,1093.38
01cf7e3d21494c41fb86034f2e714fa1,5,280.93
01cf7e3d21494c41fb86034f2e714fa1,6,1581.43
01cf7e3d21494c41fb86034f2e714fa1,7,2167.72
01cf7e3d21494c41fb86034f2e714fa1,8,1425.5
01cf7e3d21494c41fb86034f2e714fa1,9,109.77000000000001
01cf7e3d21494c41fb86034f2e714fa1,10,1423.3600000000001
01cf7e3d21494c41fb86034f2e714fa1,11,2224.2000000000003
01cf7e3d21494c41fb86034f2e714fa1,17,1342.73
01ed254b9ff8407dfb9d99ba1e17d923,11,705.69
