date_key,full_date,year,quarter,month,month_name,month_index
20170108,2017-01-08,2017,1,1,January,4
20170109,2017-01-09,2017,1,1,January,4
20170110,2017-01-10,2017,1,1,January,4
20170111,2017-01-11,2017,1,1,January,4
20170112,2017-01-12,2017,1,1,January,4
20170113,2017-01-13,2017,1,1,January,4
20170114,2017-01-14,2017,1,1,January,4
20170115,2017-01-15,2017,1,1,January,4
20170116,2017-01-16,2017,1,1,January,4
20170117,2017-01-17,2017,1,1,January,4
20170118,2017-01-18,2017,1,1,January,4
20170119,2017-01-19,2017,1,1,January,4
20170120,2017-01-20,2017,1,1,January,4
20170121,2017-01-21,2017,1,1,January,4
20170122,2017-01-22,2017,1,1,January,4
20170123,2017-01-23,2017,1,1,January,4
20170124,2017-01-24,2017,1,1,January,4
20170125,2017-01-25,2017,1,1,January,4
20170126,2017-01-26,2017,1,1,January,4
20170127,2017-01-27,2017,1,1,January,4
20170128,2017-01-28,2017,1,1,January,4
20170129,2017-01-29,2017,1,1,January,4
20170130,2017-01-30,2017,1,1,January,4
20170131,2017-01-31,2017,1,1,January,4
20170201,2017-02-01,2017,1,2,February,5
20170202,2017-02-02,2017,1,2,February,5
20170203,2017-02-03,2017,1,2,February,5
20170204,2017-02-04,2017,1,2,February,5
20170205,2017-02-05,2017,1,2,February,5
20170206,2017-02-06,2017,1,2,February,5
20170207,2017-02-07,2017,1,2,February,5
20170208,2017-02-08,2017,1,2,February,5
20170209,2017-02-09,2017,1,2,February,5
20170210,2017-02-10,2017,1,2,February,5
20170211,2017-02-11,2017,1,2,February,5
20170212,2017-02-12,2017,1,2,February,5
20170213,2017-02-13,2017,1,2,February,5
20170214,2017-02-14,2017,1,2,February,5
20170215,2017-02-15,2017,1,2,February,5
20170216,2017-02-16,2017,1,2,February,5
20170217,2017-02-17,2017,1,2,February,5
20170218,2017-02-18,2017,1,2,February,5
20170219,2017-02-19,2017,1,2,February,5
20170220,2017-02-20,2017,1,2,February,5
20170221,2017-02-21,2017,1,2,February,5
20170222,2017-02-22,2017,1,2,February,5
20170223,2017-02-23,2017,1,2,February,5
